"id","y","x","w","xgm","xgmc"
"1","1224",5.876,-1.528,0,-0.434382978723404,-1.0936170212766
"2","1224",19.708,-0.588,0,-0.434382978723404,-0.153617021276596
"3","1224",20.349,-0.528,0,-0.434382978723404,-0.0936170212765958
"4","1224",8.781,-0.668,0,-0.434382978723404,-0.233617021276596
"5","1224",17.898,-0.158,0,-0.434382978723404,0.276382978723404
"6","1224",4.583,0.022,0,-0.434382978723404,0.456382978723404
"7","1224",-2.832,-0.618,0,-0.434382978723404,-0.183617021276596
"8","1224",0.523,-0.998,0,-0.434382978723404,-0.563617021276596
"9","1224",1.527,-0.888,0,-0.434382978723404,-0.453617021276596
"10","1224",21.521,-0.458,0,-0.434382978723404,-0.0236170212765958
"11","1224",9.475,-1.448,0,-0.434382978723404,-1.0136170212766
"12","1224",16.057,-0.658,0,-0.434382978723404,-0.223617021276596
"13","1224",21.178,-0.468,0,-0.434382978723404,-0.0336170212765958
"14","1224",20.178,-0.988,0,-0.434382978723404,-0.553617021276596
"15","1224",20.349,0.332,0,-0.434382978723404,0.766382978723404
"16","1224",20.508,-0.678,0,-0.434382978723404,-0.243617021276596
"17","1224",19.338,-0.298,0,-0.434382978723404,0.136382978723404
"18","1224",4.145,-1.528,0,-0.434382978723404,-1.0936170212766
"19","1224",2.927,0.042,0,-0.434382978723404,0.476382978723404
"20","1224",16.405,-0.078,0,-0.434382978723404,0.356382978723404
"21","1224",13.653,0.062,0,-0.434382978723404,0.496382978723404
"22","1224",6.558,-0.128,0,-0.434382978723404,0.306382978723404
"23","1224",9.653,0.472,0,-0.434382978723404,0.906382978723404
"24","1224",3.154,-0.468,0,-0.434382978723404,-0.0336170212765958
"25","1224",4.753,-1.248,0,-0.434382978723404,-0.813617021276596
"26","1224",21.721,-0.628,0,-0.434382978723404,-0.193617021276596
"27","1224",5.166,0.832,0,-0.434382978723404,1.2663829787234
"28","1224",6.399,-0.568,0,-0.434382978723404,-0.133617021276596
"29","1224",6.821,-0.258,0,-0.434382978723404,0.176382978723404
"30","1224",9.255,-0.138,0,-0.434382978723404,0.296382978723404
"31","1224",3.745,-0.478,0,-0.434382978723404,-0.0436170212765957
"32","1224",0.858,-0.948,0,-0.434382978723404,-0.513617021276596
"33","1224",11.542,0.282,0,-0.434382978723404,0.716382978723404
"34","1224",13.255,-0.118,0,-0.434382978723404,0.316382978723404
"35","1224",10.557,-0.878,0,-0.434382978723404,-0.443617021276596
"36","1224",0.868,-0.938,0,-0.434382978723404,-0.503617021276596
"37","1224",8.296,-0.548,0,-0.434382978723404,-0.113617021276596
"38","1224",-1.688,0.142,0,-0.434382978723404,0.576382978723404
"39","1224",2.059,0.972,0,-0.434382978723404,1.4063829787234
"40","1224",6.714,0.372,0,-0.434382978723404,0.806382978723404
"41","1224",0.122,-1.658,0,-0.434382978723404,-1.2236170212766
"42","1224",2.381,-1.068,0,-0.434382978723404,-0.633617021276596
"43","1224",16.336,-0.248,0,-0.434382978723404,0.186382978723404
"44","1224",6.134,-1.398,0,-0.434382978723404,-0.963617021276596
"45","1224",23.584,0.752,0,-0.434382978723404,1.1863829787234
"46","1224",14.053,0.012,0,-0.434382978723404,0.446382978723404
"47","1224",2.183,-0.418,0,-0.434382978723404,0.0163829787234043
"48","1288",7.857,-0.788,0,0.1216,-0.9096
"49","1288",10.171,-0.328,0,0.1216,-0.4496
"50","1288",15.699,0.472,0,0.1216,0.3504
"51","1288",22.919,0.352,0,0.1216,0.2304
"52","1288",10.664,-1.468,0,0.1216,-1.5896
"53","1288",13.543,0.202,0,0.1216,0.0804
"54","1288",18.207,-0.518,0,0.1216,-0.6396
"55","1288",5.552,-0.158,0,0.1216,-0.2796
"56","1288",7.416,0.042,0,0.1216,-0.0796
"57","1288",18.792,0.682,0,0.1216,0.5604
"58","1288",1.575,1.262,0,0.1216,1.1404
"59","1288",3.534,0.152,0,0.1216,0.0304
"60","1288",20.173,-0.678,0,0.1216,-0.7996
"61","1288",10.772,0.332,0,0.1216,0.2104
"62","1288",2.619,-0.728,0,0.1216,-0.8496
"63","1288",21.3,1.262,0,0.1216,1.1404
"64","1288",19.527,0.612,0,0.1216,0.4904
"65","1288",18.402,0.692,0,0.1216,0.5704
"66","1288",20.69,1.082,0,0.1216,0.9604
"67","1288",21.437,0.222,0,0.1216,0.1004
"68","1288",7.519,0.032,0,0.1216,-0.0896
"69","1288",18.397,-0.118,0,0.1216,-0.2396
"70","1288",4.617,-0.488,0,0.1216,-0.6096
"71","1288",23.578,0.322,0,0.1216,0.2004
"72","1288",12.81,0.592,0,0.1216,0.4704
"73","1296",12.668,-0.148,0,-0.4255,0.2775
"74","1296",0.781,-0.858,0,-0.4255,-0.4325
"75","1296",4.968,-1.568,0,-0.4255,-1.1425
"76","1296",23.172,-0.898,0,-0.4255,-0.4725
"77","1296",8.278,-0.288,0,-0.4255,0.1375
"78","1296",6.244,-1.088,0,-0.4255,-0.6625
"79","1296",1.326,-1.388,0,-0.4255,-0.9625
"80","1296",2.359,-1.148,0,-0.4255,-0.7225
"81","1296",6.757,-0.558,0,-0.4255,-0.1325
"82","1296",6.251,-0.698,0,-0.4255,-0.2725
"83","1296",3.404,0.142,0,-0.4255,0.5675
"84","1296",22.201,0.522,0,-0.4255,0.9475
"85","1296",-1.353,0.732,0,-0.4255,1.1575
"86","1296",-0.014,-0.248,0,-0.4255,0.1775
"87","1296",5.216,0.322,0,-0.4255,0.7475
"88","1296",3.587,0.052,0,-0.4255,0.4775
"89","1296",11.162,-0.028,0,-0.4255,0.3975
"90","1296",5.982,-0.898,0,-0.4255,-0.4725
"91","1296",2.814,-0.818,0,-0.4255,-0.3925
"92","1296",7.272,-1.408,0,-0.4255,-0.9825
"93","1296",8.895,-1.258,0,-0.4255,-0.8325
"94","1296",8.773,-0.608,0,-0.4255,-0.1825
"95","1296",12.176,1.242,0,-0.4255,1.6675
"96","1296",3.052,-0.688,0,-0.4255,-0.2625
"97","1296",6.834,-0.828,0,-0.4255,-0.4025
"98","1296",3.255,-0.698,0,-0.4255,-0.2725
"99","1296",6.355,-0.498,0,-0.4255,-0.0725
"100","1296",11.589,-0.658,0,-0.4255,-0.2325
"101","1296",8.08,-0.778,0,-0.4255,-0.3525
"102","1296",19.822,-0.098,0,-0.4255,0.3275
"103","1296",14.239,-1.028,0,-0.4255,-0.6025
"104","1296",1.17,-0.418,0,-0.4255,0.00750000000000001
"105","1296",-1.127,-0.408,0,-0.4255,0.0175
"106","1296",10.84,0.352,0,-0.4255,0.7775
"107","1296",6.778,-1.628,0,-0.4255,-1.2025
"108","1296",9.449,-0.698,0,-0.4255,-0.2725
"109","1296",5.995,-0.168,0,-0.4255,0.2575
"110","1296",4.765,-0.718,0,-0.4255,-0.2925
